,Landcode,Date_value,Indicator_category,Indicator,measure_value,unit_of_measure,Source
0,AFG,2018.0,Country,Civicus score,2,Number,Civicus monitor
0,ALB,2018.0,Country,Civicus score,4,Number,Civicus monitor
0,DZA,2018.0,Country,Civicus score,2,Number,Civicus monitor
0,AND,2018.0,Country,Civicus score,5,Number,Civicus monitor
0,AGO,2018.0,Country,Civicus score,2,Number,Civicus monitor
0,ATG,2018.0,Country,Civicus score,5,Number,Civicus monitor
0,ARG,2018.0,Country,Civicus score,4,Number,Civicus monitor
0,ARM,2018.0,Country,Civicus score,3,Number,Civicus monitor
0,AUS,2018.0,Country,Civicus score,5,Number,Civicus monitor
0,AUT,2018.0,Country,Civicus score,6,Number,Civicus monitor
0,AZE,2018.0,Country,Civicus score,2,Number,Civicus monitor
0,BHS,2018.0,Country,Civicus score,4,Number,Civicus monitor
0,BHR,2018.0,Country,Civicus score,1,Number,Civicus monitor
0,BGD,2018.0,Country,Civicus score,2,Number,Civicus monitor
0,BRB,2018.0,Country,Civicus score,5,Number,Civicus monitor
0,BLR,2018.0,Country,Civicus score,2,Number,Civicus monitor
0,BEL,2018.0,Country,Civicus score,5,Number,Civicus monitor
0,BLZ,2018.0,Country,Civicus score,4,Number,Civicus monitor
0,BEN,2018.0,Country,Civicus score,3,Number,Civicus monitor
0,BTN,2018.0,Country,Civicus score,3,Number,Civicus monitor
0,BOL,2018.0,Country,Civicus score,3,Number,Civicus monitor
0,BIH,2018.0,Country,Civicus score,4,Number,Civicus monitor
0,BWA,2018.0,Country,Civicus score,4,Number,Civicus monitor
0,BRA,2018.0,Country,Civicus score,3,Number,Civicus monitor
0,BRN,2018.0,Country,Civicus score,3,Number,Civicus monitor
0,BGR,2018.0,Country,Civicus score,4,Number,Civicus monitor
0,BFA,2018.0,Country,Civicus score,3,Number,Civicus monitor
0,BDI,2018.0,Country,Civicus score,1,Number,Civicus monitor
0,KHM,2018.0,Country,Civicus score,2,Number,Civicus monitor
0,CMR,2018.0,Country,Civicus score,2,Number,Civicus monitor
0,CAN,2018.0,Country,Civicus score,4,Number,Civicus monitor
0,CPV,2018.0,Country,Civicus score,5,Number,Civicus monitor
0,CAF,2018.0,Country,Civicus score,1,Number,Civicus monitor
0,TCD,2018.0,Country,Civicus score,2,Number,Civicus monitor
0,CHL,2018.0,Country,Civicus score,4,Number,Civicus monitor
0,CHN,2018.0,Country,Civicus score,1,Number,Civicus monitor
0,COL,2018.0,Country,Civicus score,2,Number,Civicus monitor
0,COM,2018.0,Country,Civicus score,4,Number,Civicus monitor
0,CRI,2018.0,Country,Civicus score,5,Number,Civicus monitor
0,CIV,2018.0,Country,Civicus score,3,Number,Civicus monitor
0,HRV,2018.0,Country,Civicus score,4,Number,Civicus monitor
0,CUB,2018.0,Country,Civicus score,1,Number,Civicus monitor
0,CYP,2018.0,Country,Civicus score,5,Number,Civicus monitor
0,CZE,2018.0,Country,Civicus score,5,Number,Civicus monitor
0,COD,2018.0,Country,Civicus score,1,Number,Civicus monitor
0,DNK,2018.0,Country,Civicus score,5,Number,Civicus monitor
0,DJI,2018.0,Country,Civicus score,2,Number,Civicus monitor
0,DMA,2018.0,Country,Civicus score,5,Number,Civicus monitor
0,DOM,2018.0,Country,Civicus score,3,Number,Civicus monitor
0,ECU,2018.0,Country,Civicus score,3,Number,Civicus monitor
0,EGY,2018.0,Country,Civicus score,1,Number,Civicus monitor
0,SLV,2018.0,Country,Civicus score,3,Number,Civicus monitor
0,GNQ,2018.0,Country,Civicus score,1,Number,Civicus monitor
0,ERI,2018.0,Country,Civicus score,1,Number,Civicus monitor
0,EST,2018.0,Country,Civicus score,5,Number,Civicus monitor
0,ETH,2018.0,Country,Civicus score,1,Number,Civicus monitor
0,FJI,2018.0,Country,Civicus score,3,Number,Civicus monitor
0,FIN,2018.0,Country,Civicus score,5,Number,Civicus monitor
0,FRA,2018.0,Country,Civicus score,4,Number,Civicus monitor
0,GAB,2018.0,Country,Civicus score,3,Number,Civicus monitor
0,GMB,2018.0,Country,Civicus score,2,Number,Civicus monitor
0,GEO,2018.0,Country,Civicus score,4,Number,Civicus monitor
0,DEU,2018.0,Country,Civicus score,5,Number,Civicus monitor
0,GHA,2018.0,Country,Civicus score,4,Number,Civicus monitor
0,GRC,2018.0,Country,Civicus score,4,Number,Civicus monitor
0,GRL,2018.0,Country,Civicus score,None,Number,Civicus monitor
0,GRD,2018.0,Country,Civicus score,5,Number,Civicus monitor
0,GTM,2018.0,Country,Civicus score,3,Number,Civicus monitor
0,GIN,2018.0,Country,Civicus score,3,Number,Civicus monitor
0,GNB,2018.0,Country,Civicus score,3,Number,Civicus monitor
0,GUY,2018.0,Country,Civicus score,4,Number,Civicus monitor
0,HTI,2018.0,Country,Civicus score,3,Number,Civicus monitor
0,HND,2018.0,Country,Civicus score,2,Number,Civicus monitor
0,HUN,2018.0,Country,Civicus score,3,Number,Civicus monitor
0,ISL,2018.0,Country,Civicus score,5,Number,Civicus monitor
0,IND,2018.0,Country,Civicus score,3,Number,Civicus monitor
0,IDN,2018.0,Country,Civicus score,3,Number,Civicus monitor
0,IRN,2018.0,Country,Civicus score,1,Number,Civicus monitor
0,IRQ,2018.0,Country,Civicus score,2,Number,Civicus monitor
0,IRL,2018.0,Country,Civicus score,5,Number,Civicus monitor
0,ISR,2018.0,Country,Civicus score,3,Number,Civicus monitor
0,ITA,2018.0,Country,Civicus score,5,Number,Civicus monitor
0,JAM,2018.0,Country,Civicus score,4,Number,Civicus monitor
0,JPN,2018.0,Country,Civicus score,4,Number,Civicus monitor
0,JOR,2018.0,Country,Civicus score,3,Number,Civicus monitor
0,KAZ,2018.0,Country,Civicus score,3,Number,Civicus monitor
0,KEN,2018.0,Country,Civicus score,3,Number,Civicus monitor
0,KIR,2018.0,Country,Civicus score,5,Number,Civicus monitor
0,KWT,2018.0,Country,Civicus score,3,Number,Civicus monitor
0,KGZ,2018.0,Country,Civicus score,3,Number,Civicus monitor
0,LAO,2018.0,Country,Civicus score,1,Number,Civicus monitor
0,LVA,2018.0,Country,Civicus score,4,Number,Civicus monitor
0,LBN,2018.0,Country,Civicus score,3,Number,Civicus monitor
0,LSO,2018.0,Country,Civicus score,3,Number,Civicus monitor
0,LBR,2018.0,Country,Civicus score,2,Number,Civicus monitor
0,LBY,2018.0,Country,Civicus score,1,Number,Civicus monitor
0,LIE,2018.0,Country,Civicus score,5,Number,Civicus monitor
0,LTU,2018.0,Country,Civicus score,4,Number,Civicus monitor
0,LUX,2018.0,Country,Civicus score,5,Number,Civicus monitor
0,MKD,2018.0,Country,Civicus score,4,Number,Civicus monitor
0,MDG,2018.0,Country,Civicus score,3,Number,Civicus monitor
0,MWI,2018.0,Country,Civicus score,3,Number,Civicus monitor
0,MYS,2018.0,Country,Civicus score,3,Number,Civicus monitor
0,MDV,2018.0,Country,Civicus score,3,Number,Civicus monitor
0,MLI,2018.0,Country,Civicus score,3,Number,Civicus monitor
0,MLT,2018.0,Country,Civicus score,5,Number,Civicus monitor
0,MHL,2018.0,Country,Civicus score,5,Number,Civicus monitor
0,MRT,2018.0,Country,Civicus score,2,Number,Civicus monitor
0,MUS,2018.0,Country,Civicus score,4,Number,Civicus monitor
0,MEX,2018.0,Country,Civicus score,2,Number,Civicus monitor
0,FSM,2018.0,Country,Civicus score,5,Number,Civicus monitor
0,MDA,2018.0,Country,Civicus score,3,Number,Civicus monitor
0,MCO,2018.0,Country,Civicus score,5,Number,Civicus monitor
0,MNG,2018.0,Country,Civicus score,3,Number,Civicus monitor
0,MNE,2018.0,Country,Civicus score,4,Number,Civicus monitor
0,MAR,2018.0,Country,Civicus score,3,Number,Civicus monitor
0,MOZ,2018.0,Country,Civicus score,3,Number,Civicus monitor
0,MMR,2018.0,Country,Civicus score,2,Number,Civicus monitor
0,NAM,2018.0,Country,Civicus score,4,Number,Civicus monitor
0,NRU,2018.0,Country,Civicus score,4,Number,Civicus monitor
0,NPL,2018.0,Country,Civicus score,3,Number,Civicus monitor
0,NLD,2018.0,Country,Civicus score,5,Number,Civicus monitor
0,NZL,2018.0,Country,Civicus score,5,Number,Civicus monitor
0,NIC,2018.0,Country,Civicus score,3,Number,Civicus monitor
0,NER,2018.0,Country,Civicus score,3,Number,Civicus monitor
0,NGA,2018.0,Country,Civicus score,3,Number,Civicus monitor
0,PRK,2018.0,Country,Civicus score,1,Number,Civicus monitor
0,NOR,2018.0,Country,Civicus score,5,Number,Civicus monitor
0,OMN,2018.0,Country,Civicus score,2,Number,Civicus monitor
0,PAK,2018.0,Country,Civicus score,2,Number,Civicus monitor
0,PLW,2018.0,Country,Civicus score,5,Number,Civicus monitor
0,PSE,2018.0,Country,Civicus score,2,Number,Civicus monitor
0,PAN,2018.0,Country,Civicus score,4,Number,Civicus monitor
0,PNG,2018.0,Country,Civicus score,4,Number,Civicus monitor
0,PRY,2018.0,Country,Civicus score,3,Number,Civicus monitor
0,PER,2018.0,Country,Civicus score,3,Number,Civicus monitor
0,PHL,2018.0,Country,Civicus score,3,Number,Civicus monitor
0,POL,2018.0,Country,Civicus score,4,Number,Civicus monitor
0,PRT,2018.0,Country,Civicus score,5,Number,Civicus monitor
0,QAT,2018.0,Country,Civicus score,2,Number,Civicus monitor
0,COG,2018.0,Country,Civicus score,2,Number,Civicus monitor
0,ROU,2018.0,Country,Civicus score,4,Number,Civicus monitor
0,RUS,2018.0,Country,Civicus score,2,Number,Civicus monitor
0,RWA,2018.0,Country,Civicus score,2,Number,Civicus monitor
0,LCA,2018.0,Country,Civicus score,5,Number,Civicus monitor
0,WSM,2018.0,Country,Civicus score,5,Number,Civicus monitor
0,SMR,2018.0,Country,Civicus score,5,Number,Civicus monitor
0,STP,2018.0,Country,Civicus score,5,Number,Civicus monitor
0,SAU,2018.0,Country,Civicus score,1,Number,Civicus monitor
0,SEN,2018.0,Country,Civicus score,4,Number,Civicus monitor
0,SRB,2018.0,Country,Civicus score,4,Number,Civicus monitor
0,SYC,2018.0,Country,Civicus score,4,Number,Civicus monitor
0,SLE,2018.0,Country,Civicus score,3,Number,Civicus monitor
0,SGP,2018.0,Country,Civicus score,3,Number,Civicus monitor
0,SVK,2018.0,Country,Civicus score,4,Number,Civicus monitor
0,SVN,2018.0,Country,Civicus score,5,Number,Civicus monitor
0,SLB,2018.0,Country,Civicus score,5,Number,Civicus monitor
0,SOM,2018.0,Country,Civicus score,1,Number,Civicus monitor
0,ZAF,2018.0,Country,Civicus score,4,Number,Civicus monitor
0,KOR,2018.0,Country,Civicus score,4,Number,Civicus monitor
0,SSD,2018.0,Country,Civicus score,1,Number,Civicus monitor
0,ESP,2018.0,Country,Civicus score,4,Number,Civicus monitor
0,LKA,2018.0,Country,Civicus score,3,Number,Civicus monitor
0,KNA,2018.0,Country,Civicus score,5,Number,Civicus monitor
0,SDN,2018.0,Country,Civicus score,1,Number,Civicus monitor
0,SUR,2018.0,Country,Civicus score,5,Number,Civicus monitor
0,SWZ,2018.0,Country,Civicus score,2,Number,Civicus monitor
0,SWE,2018.0,Country,Civicus score,5,Number,Civicus monitor
0,CHE,2018.0,Country,Civicus score,5,Number,Civicus monitor
0,SYR,2018.0,Country,Civicus score,1,Number,Civicus monitor
0,TWN,2018.0,Country,Civicus score,5,Number,Civicus monitor
0,TJK,2018.0,Country,Civicus score,2,Number,Civicus monitor
0,TZA,2018.0,Country,Civicus score,3,Number,Civicus monitor
0,THA,2018.0,Country,Civicus score,2,Number,Civicus monitor
0,TLS,2018.0,Country,Civicus score,3,Number,Civicus monitor
0,TGO,2018.0,Country,Civicus score,3,Number,Civicus monitor
0,TON,2018.0,Country,Civicus score,4,Number,Civicus monitor
0,TTO,2018.0,Country,Civicus score,4,Number,Civicus monitor
0,TUN,2018.0,Country,Civicus score,3,Number,Civicus monitor
0,TUR,2018.0,Country,Civicus score,2,Number,Civicus monitor
0,TKM,2018.0,Country,Civicus score,1,Number,Civicus monitor
0,TUV,2018.0,Country,Civicus score,5,Number,Civicus monitor
0,UGA,2018.0,Country,Civicus score,2,Number,Civicus monitor
0,UKR,2018.0,Country,Civicus score,3,Number,Civicus monitor
0,ARE,2018.0,Country,Civicus score,1,Number,Civicus monitor
0,GBR,2018.0,Country,Civicus score,4,Number,Civicus monitor
0,USA,2018.0,Country,Civicus score,4,Number,Civicus monitor
0,URY,2018.0,Country,Civicus score,5,Number,Civicus monitor
0,UZB,2018.0,Country,Civicus score,1,Number,Civicus monitor
0,VUT,2018.0,Country,Civicus score,4,Number,Civicus monitor
0,VEN,2018.0,Country,Civicus score,2,Number,Civicus monitor
0,VNM,2018.0,Country,Civicus score,1,Number,Civicus monitor
0,YEM,2018.0,Country,Civicus score,1,Number,Civicus monitor
0,ZMB,2018.0,Country,Civicus score,3,Number,Civicus monitor
